Name: , Regularität: , k-zusammenhangs Zahl: , Anzahl Knoten: , Anzahl Automorphismen: , Anzahl ColMat m. Färb.: , Anzahl Färbungen: 
Graph no. 80,4,4,10,4.0,1,4
Graph no. 81,4,4,10,4.0,10,39
Graph no. 82,4,4,10,2.0,2,3
Graph no. 83,4,4,10,2.0,3,5
Graph no. 84,4,4,10,2.0,1,2
Graph no. 85,4,4,10,2.0,2,5
Graph no. 86,4,4,10,4.0,6,17
Graph no. 87,4,4,10,1.0,5,9
Graph no. 88,4,4,10,1.0,0,0
Graph no. 89,4,4,10,2.0,1,2
Graph no. 90,4,4,10,2.0,1,2
Graph no. 91,4,4,10,32.0,6,27
Graph no. 92,4,4,10,2.0,3,5
Graph no. 93,4,4,10,2.0,1,1
Graph no. 94,4,4,10,2.0,3,5
Graph no. 95,4,4,10,4.0,2,5
Graph no. 96,4,4,10,1.0,2,5
Graph no. 97,4,4,10,4.0,8,41
Graph no. 98,4,4,10,2.0,1,2
Graph no. 99,4,4,10,8.0,2,9
Graph no. 100,4,4,10,4.0,2,3
Graph no. 101,4,4,10,4.0,1,1
Graph no. 102,4,4,10,4.0,1,1
Graph no. 103,4,4,10,4.0,1,1
Graph no. 104,4,4,10,4.0,1,1
Graph no. 105,4,4,10,2.0,0,0
Graph no. 106,4,4,10,2.0,3,5
Graph no. 107,4,4,10,16.0,8,35
Graph no. 108,4,4,10,2.0,2,3
Graph no. 109,4,4,10,16.0,4,7
Graph no. 110,4,4,10,16.0,3,7
Graph no. 111,4,4,10,2.0,1,2
Graph no. 112,4,4,10,10.0,1,2
Graph no. 113,4,4,10,4.0,7,19
Graph no. 114,4,4,10,8.0,5,15
Graph no. 115,4,4,10,320.0,5,87
Graph no. 116,4,4,10,240.0,11,267
Graph no. 117,5,5,10,8.0,2,9
Graph no. 118,5,5,10,4.0,1,1
Graph no. 119,5,5,10,320.0,5,87
Graph no. 120,5,5,10,32.0,6,27
Graph no. 121,5,5,10,8.0,5,15
Graph no. 122,5,5,10,2.0,2,5
Graph no. 123,5,5,10,8.0,0,0
Graph no. 124,5,5,10,16.0,4,7
Graph no. 125,5,5,10,8.0,1,2
Graph no. 126,5,5,10,4.0,1,4
Graph no. 127,5,5,10,8.0,1,2
Graph no. 128,5,5,10,16.0,3,11
Graph no. 129,5,5,10,240.0,11,267
Graph no. 130,5,5,10,4.0,7,19
Graph no. 131,5,5,10,4.0,8,41
Graph no. 132,5,5,10,48.0,8,263
Graph no. 133,5,5,10,4.0,1,1
Graph no. 134,5,5,10,12.0,1,2
Graph no. 135,5,5,10,2.0,3,5
Graph no. 136,5,5,10,2.0,1,2
