Graph name,Graph adj. Mat., Regularität: , k-zusammenhangs Zahl: , Anzahl Knoten: , Anzahl Automorphismen: , Anzahl ColMat m. Färb.: , Anzahl Färbungen: ,List of possible colour incidence matrix in this and the following columns 
Graph no. 1,"[[0. 1. 1. 1.]
 [1. 0. 1. 1.]
 [1. 1. 0. 1.]
 [1. 1. 1. 0.]]",3,3,4,24.0,4,46,"[[0 3]
 [1 2]]","[[1 2]
 [2 1]]","[[0 1 2]
 [1 0 2]
 [1 1 1]]","[[0 1 1 1]
 [1 0 1 1]
 [1 1 0 1]
 [1 1 1 0]]"
Graph no. 2,"[[0. 1. 1. 1. 1.]
 [1. 0. 1. 1. 1.]
 [1. 1. 0. 1. 1.]
 [1. 1. 1. 0. 1.]
 [1. 1. 1. 1. 0.]]",4,4,5,120.0,5,125,"[[0 4]
 [1 3]]","[[1 3]
 [2 2]]","[[0 1 3]
 [1 0 3]
 [1 1 2]]","[[0 2 2]
 [1 1 2]
 [1 2 1]]","[[0 1 1 2]
 [1 0 1 2]
 [1 1 0 2]
 [1 1 1 1]]"
Graph no. 3,"[[0. 1. 1. 1. 0. 0.]
 [1. 0. 1. 0. 1. 0.]
 [1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 0. 1. 1.]
 [0. 1. 0. 1. 0. 1.]
 [0. 0. 1. 1. 1. 0.]]",3,3,6,12.0,5,23,"[[1 2]
 [1 2]]","[[2 1]
 [1 2]]","[[0 1 2]
 [1 1 1]
 [2 1 0]]","[[1 1 1]
 [1 1 1]
 [1 1 1]]","[[0 1 0 2]
 [1 0 2 0]
 [0 1 1 1]
 [1 0 1 1]]"
Graph no. 4,"[[0. 1. 1. 1. 0. 0.]
 [1. 0. 0. 0. 1. 1.]
 [1. 0. 0. 0. 1. 1.]
 [1. 0. 0. 0. 1. 1.]
 [0. 1. 1. 1. 0. 0.]
 [0. 1. 1. 1. 0. 0.]]",3,3,6,72.0,6,83,"[[0 3]
 [3 0]]","[[1 2]
 [1 2]]","[[0 0 3]
 [0 0 3]
 [1 2 0]]","[[1 1 1]
 [1 1 1]
 [1 1 1]]","[[0 0 0 3]
 [0 0 0 3]
 [0 0 0 3]
 [1 1 1 0]]","[[0 1 0 2]
